=== SHEET: ADO raw data ===
Category (functional area),Request title,Request Description,Request Type,Health Plan,Date Created,State, , , , , , , , , , , , , , , , , , , 
Data Ingestion/ETL,Need Feb 2023 eligibility data loaded for all payers,Need February eligibility data loaded for the following payers AHC DHP FCHP FMHP GEHA HP Humana MCS MMM SSS SWHP,Customization,SSS,3/7/2023 2:32:51 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Need MMM January 2023 eligibility data loaded,The MMM January 2023 eligibility data is missing from analytical services. We need to get this loaded.,Customization,MMM,3/7/2023 2:39:53 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,MMM eligibility file format changes,"MMM is changing the eligibility file format. It looks like it will be by the end of March for April files. I do not have the specs yet, but when I do, they will be loaded here.",Customization,MMM,3/7/2023 3:57:42 PM,Closed,,,,,,,,,,,,,,,,,,,
Eligibility Flags,LSDD | Data Refresh | April | Eligibility Major LOB Xwalk - Due 03/17/2023,"style box sizing border box Tasks style box sizing border box style box sizing border box padding left 40px style box sizing border box Check for necessary updates. Run this script on Synapse style box sizing border box padding left 40px list style lower alpha style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 0 Monthly check for missing values.sql i style box sizing border box Review values that aren t in Xwalk or that have high volume and are mapped to MajorLineOfBusiness OA000000 or Unknown in the xwalk. style box sizing border box padding left 40px list style lower alpha style box sizing border box style box sizing border box Note see what max filedate is for these records if old, can ignore until there is an explicit business need to address style box sizing border box style box sizing border box style box sizing border box Could also check DevOps for other tickets having the same title as this one quot Eligibility Major LOB Xwalk check for necessary updates quot to see if these value were intentionally left unmapped. style box sizing border box style box sizing border box Create new, comprehensive dataset that contains all added, updated, and unchanged rows needed for the Xwalk. Load this dataset to style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box Reference.map. b style box sizing border box style box sizing border box color rgb 12, 100, 192 display inline important b style box sizing border box MemberEligibilityLOBXwalk lt YYYYMMDD gt example scripts b style box sizing border box style box sizing border box padding left 40px list style lower alpha style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 1 Manually Create MemberEligibilityLOBXwalkYYYYMMDD Create MemberEligibilityLOBXwalk20220304.sql style box sizing border box i style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 1 Manually Create MemberEligibilityLOBXwalkYYYYMMDD Create MemberEligibilityLOBXwalk20220812.sql i style box sizing border box Follow the table naming convention it ll make the next step easier style box sizing border box Pull data from b style box sizing border box Reference.map. b style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box MemberEligibilityLOBXwalk lt YYYYMMDD gt into b style box sizing border box Reference.map. b style box sizing border box display inline important MemberEligibilityLOBXwalkHistory. b style box sizing border box padding left 40px list style lower alpha style box sizing border box style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box style box sizing border box display inline important i style box sizing border box Script N Reference data LOB stuff A CURRENT build Scripts archive Insert into map.MemberEligibilityLOBXwalkHistory.sql i b style box sizing border box style box sizing border box style box sizing border box display inline important style box sizing border box style box sizing border box font color 0c64c0 style box sizing border box NOTE font b style box sizing border box color rgb 118, 62, 155 This one manually adds flags that are used for flagging in out of scope for prior Auth review b style box sizing border box IFF Xwalk is updated File DevOps ticket for Engineering to style box sizing border box padding left 40px list style lower alpha style box sizing border box Move new Xwalk to Synapse style box sizing border box Patch lvl2.MemberEligibility When complete, please close this user story and post status to LS DD Refresh Run Coordination Teams channel. style box sizing border box a href data vss mention version 2.0,608ba89b c668 6334 9806 86e833e48a12 Teresa Black a a href data vss mention version 2.0,d6e0fd80 c962 629f 99d0 cd6f0f429fce Elizabeth Hardy a Testing to see if Liz is notified.",Standard,,3/7/2023 8:43:19 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,LSDD | Data Refresh | April | Eligibility Data Load to L3-Manual Load (5 Tables) Start - 04/03/2023,Copy below 5 tables from Synapse L2 to Synapse L3 and MiProd 04 Database. LSEligibilityCoverageBase LSEligibilityCoverageGaps LSEligibilityContinouseEnrollment LSEligibilityPatientEnrollment EligibilityWithMultPatientKeys,Standard,,3/7/2023 8:43:19 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,MSM updated eligibility lists for Allison,"style margin 0in font size 11pt font family Calibri, sans serif Stefan style margin 0in font size 11pt font family Calibri, sans serif style margin 0in font size 11pt font family Calibri, sans serif Can you pull an updated ACT list for Point32 Harvard Pilgrim. They re going to append email, so I d like it to be on the most recently list. style margin 0in font size 11pt font family Calibri, sans serif style margin 0in font size 11pt font family Calibri, sans serif Also, at some point, if you want to walk me through the BI tool, I can see where you re pulling from and self service. style margin 0in font size 11pt font family Calibri, sans serif style margin 0in font size 11pt font family Calibri, sans serif Thanks style margin 0in font size 11pt font family Calibri, sans serif a",Customization,POINT32,3/7/2023 9:14:54 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,MMM | Eligibility | Mapping of new file to L1/L2 Columns,"Create mappings from source file eligibility to lvl0 gt lvl1 gt lvl2 Draft can be found here a href https oncologyanalyticsinc.sharepoint.com x r sites ImplementationMaterials layouts 15 Doc.aspx action editNew amp sourcedoc 7bc4bc99df 43e3 4624 ba8a c4d522fb7b4f 7d amp wdOrigin TEAMS ELECTRON.teamsSdk.openFilePreview amp wdExp TEAMS CONTROL amp wdhostclicktime 1686346717295 amp web 1 target blank rel noopener noreferrer https oncologyanalyticsinc.sharepoint.com x r sites ImplementationMaterials layouts 15 Doc.aspx action editNew amp sourcedoc 7Bc4bc99df 43e3 4624 ba8a c4d522fb7b4f 7D amp wdOrigin TEAMS ELECTRON.teamsSdk.openFilePreview amp wdExp TEAMS CONTROL amp wdhostclicktime 1686346717295 amp web 1 a MMM started sending us a new file format back in April of 2023 and have been sending us the old and new format ever since that time. They are still running on Matis. a href data vss mention version 2.0,ec33e22b 7c67 6ca9 aa62 f30d46e5d994 Marc Gale a a href data vss mention version 2.0,734626bd 119e 6a65 91b9 076735b0f125 Marisa Olsen a is meeting with Islen on this today so this may become a high priority if MMM decides to stop sending us the old format. The existing pipeline is an SSIS package so part of this effort is to review the existing pipeline and determine what transformations are occuring.",Customization,MMM,3/15/2023 2:23:22 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,MMM | Eligibility | Create Load from Blob to L2,Format for the file can be found here a href https oncologyanalyticsinc.sharepoint.com x r sites ImplementationMaterials Shared 20Documents MMM Technical MMM OH File Layouts V2 2023.xlsx d wf38f050b1b0e44d6ad4bd2364c0fc789 amp csf 1 amp web 1 amp e TQU2Cv https oncologyanalyticsinc.sharepoint.com x r sites ImplementationMaterials Shared 20Documents MMM Technical MMM OH File Layouts V2 2023.xlsx d wf38f050b1b0e44d6ad4bd2364c0fc789 amp csf 1 amp web 1 amp e TQU2Cv a Create lvl0 table to match columns we are getting in the elig file. In UAT uat lvl0 . mmm member eligibility The two test files that should be used for UAT are located here img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 84e1a331 8ae8 4900 9396 3de7832db986 fileName image.png alt Image,Customization,MMM,3/15/2023 2:24:44 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Databricks | Phase 2a | lvl2 Eligibility,"By 4 11 2023 please deliver a copy of the lvl2eligibility table from synapse to the following catalog in enterprise Databricks environment style box sizing border box outline none Delivering just a copy of the following data to the Enterprise Databricks. style box sizing border box style box sizing border box padding 0px 0px 0px 40px margin bottom 0in style box sizing border box padding left 40px margin bottom 0in style box sizing border box lang EN GB style box sizing border box font size 10pt line height 14.2667px font family Arial, sans serif Copy of Eligibility Data lvl2 style box sizing border box padding left 40px margin bottom 0in style box sizing border box lang EN GB style box sizing border box font size 10pt line height 14.2667px font family Arial, sans serif From Synapse style box sizing border box style box sizing border box style box sizing border box style box sizing border box Containers to deliver data to is as follows style box sizing border box style box sizing border box margin 0in font size 11pt font family Calibri, sans serif table style box sizing border box border collapse collapse border spacing 0px margin 0px tbody style box sizing border box tr style box sizing border box td width 228 style box sizing border box width 170.75pt border 1pt solid windowtext padding 0in 5.4pt style box sizing border box margin 0in font size 11pt font family Calibri, sans serif b style box sizing border box Catalog b td td width 210 style box sizing border box width 157.5pt border top 1pt solid windowtext border right 1pt solid windowtext border bottom 1pt solid windowtext border left none padding 0in 5.4pt style box sizing border box margin 0in font size 11pt font family Calibri, sans serif b style box sizing border box DB Tables b td tr tr style box sizing border box td width 228 style box sizing border box width 170.75pt border right 1pt solid windowtext border bottom 1pt solid windowtext border left 1pt solid windowtext border top none padding 0in 5.4pt style box sizing border box margin 0in font size 11pt font family Calibri, sans serif Datafactory dev td td width 210 style box sizing border box width 157.5pt border top none border left none border bottom 1pt solid windowtext border right 1pt solid windowtext padding 0in 5.4pt style box sizing border box margin 0in font size 11pt font family Calibri, sans serif lvl2eligibility td tr tr style box sizing border box td width 228 style box sizing border box width 170.75pt border right 1pt solid windowtext border bottom 1pt solid windowtext border left 1pt solid windowtext border top none padding 0in 5.4pt style box sizing border box margin 0in font size 11pt font family Calibri, sans serif Datafactory dev td td width 210 style box sizing border box width 157.5pt border top none border left none border bottom 1pt solid windowtext border right 1pt solid windowtext padding 0in 5.4pt style display inline important lvl2eligibilityDevoted td tr tbody table",Customization,DEVOTED,3/30/2023 5:03:11 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Staging - Load Latest Eligibility - Devoted,Please load the most recent full files for the following in progress payers Devoted Thank you,Customization,DEVOTED,4/10/2023 7:24:40 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Point32 | Staging - Load Latest Eligibility - HPHC,Please load the most recent full files for the following in progress payers HPHC Thank you,Customization,HPHC,4/11/2023 5:52:52 PM,Closed,,,,,,,,,,,,,,,,,,,
Eligibility Flags,LSDD | Data Refresh | May | Eligibility Major LOB Xwalk - Due 04/17/2023,"style box sizing border box Tasks style box sizing border box style box sizing border box padding left 40px style box sizing border box Check for necessary updates. Run this script on Synapse style box sizing border box padding left 40px list style lower alpha style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 0 Monthly check for missing values.sql i style box sizing border box Review values that aren t in Xwalk or that have high volume and are mapped to MajorLineOfBusiness OA000000 or Unknown in the xwalk. style box sizing border box padding left 40px list style lower alpha style box sizing border box style box sizing border box Note see what max filedate is for these records if old, can ignore until there is an explicit business need to address style box sizing border box style box sizing border box style box sizing border box Could also check DevOps for other tickets having the same title as this one quot Eligibility Major LOB Xwalk check for necessary updates quot to see if these value were intentionally left unmapped. style box sizing border box style box sizing border box Create new, comprehensive dataset that contains all added, updated, and unchanged rows needed for the Xwalk. Load this dataset to style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box Reference.map. b style box sizing border box style box sizing border box color rgb 12, 100, 192 display inline important b style box sizing border box MemberEligibilityLOBXwalk lt YYYYMMDD gt example scripts b style box sizing border box style box sizing border box padding left 40px list style lower alpha style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 1 Manually Create MemberEligibilityLOBXwalkYYYYMMDD Create MemberEligibilityLOBXwalk20220304.sql style box sizing border box i style box sizing border box i style box sizing border box N Reference data LOB stuff A CURRENT build Scripts STEP 1 Manually Create MemberEligibilityLOBXwalkYYYYMMDD Create MemberEligibilityLOBXwalk20220812.sql i style box sizing border box Follow the table naming convention it ll make the next step easier style box sizing border box Pull data from b style box sizing border box Reference.map. b style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box MemberEligibilityLOBXwalk lt YYYYMMDD gt into b style box sizing border box Reference.map. b style box sizing border box display inline important MemberEligibilityLOBXwalkHistory. b style box sizing border box padding left 40px list style lower alpha style box sizing border box style box sizing border box style box sizing border box color rgb 12, 100, 192 b style box sizing border box style box sizing border box display inline important i style box sizing border box Script N Reference data LOB stuff A CURRENT build Scripts archive Insert into map.MemberEligibilityLOBXwalkHistory.sql i b style box sizing border box style box sizing border box style box sizing border box display inline important style box sizing border box style box sizing border box font color 0c64c0 style box sizing border box NOTE font b style box sizing border box color rgb 118, 62, 155 This one manually adds flags that are used for flagging in out of scope for prior Auth review b style box sizing border box IFF Xwalk is updated File DevOps ticket for Engineering to style box sizing border box padding left 40px list style lower alpha style box sizing border box Move new Xwalk to Synapse style box sizing border box Patch lvl2.MemberEligibility When complete, please close this user story and post status to LS DD Refresh Run Coordination Teams channel. style box sizing border box a href data vss mention version 2.0,608ba89b c668 6334 9806 86e833e48a12 Teresa Black a a href data vss mention version 2.0,d6e0fd80 c962 629f 99d0 cd6f0f429fce Elizabeth Hardy a Testing to see if Liz is notified.",Standard,,4/12/2023 7:19:27 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,LSDD | Data Refresh | May | Eligibility Data Load to L3-Manual Load (5 Tables) Start - 05/01/2023,Copy below 5 tables from Synapse L2 to Synapse L3 and MiProd 04 Database. LSEligibilityCoverageBase LSEligibilityCoverageGaps LSEligibilityContinouseEnrollment LSEligibilityPatientEnrollment EligibilityWithMultPatientKeys,Standard,,4/12/2023 7:19:27 PM,Closed,,,,,,,,,,,,,,,,,,,
Dual Eligibility,Devoted | Enhancement | Require Dual Eligibility Field for Internal Users,b As an b i internal i user b I want b to make the field quot Dual Eligibility quot required in SmartUM when a provisional request for a Devoted Health Plan member is entered b So that b OncoHealth is capturing all the necessary information for case entry b u Requirements u b IF an i internal i user enters a case THEN make the field quot Dual Eligibility quot in Policy Information required img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 6a84fde3 6f68 4f8c 8aa9 018c307fc880 fileName Untitled 20picture.png alt Untitled picture.png i i,Customization,DEVOTED,4/18/2023 10:57:23 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Excellus - Need Eligibility data loaded to analytics,"We need the Excellus eligibility data loaded to analytical services, and it will need to be loaded on a schedule. This needs to be completed before April 2023 reporting is run.",Customization,EXCELLUS,4/26/2023 4:57:50 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Populate Code columns for Eligibility jobs in Prod/UAT/Dev envs,,Standard,,4/26/2023 7:26:57 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility Others,"Humana not refreshing member processing for Humana refreshes on a monthly basis, we are always about a month behind style devoted mapping changes needed to be pushed to prod amp tested",Customization,HUMANA,5/18/2023 4:56:03 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Excellus Eligibility Update,,Customization,EXCELLUS,5/22/2023 6:18:47 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Remove MiProd04 Copy Activities from Eligibility,,Standard,,5/23/2023 5:17:05 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,GEHA eligibility data issue,,Customization,GEHA,6/6/2023 4:37:26 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Excellus Eligibility Additional Development,,Customization,EXCELLUS,6/13/2023 4:11:13 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,REQ | SmartUM | All Payers (Excellus) | ZD 25266 | External CR | Allow users to create cases for Members with future eligibility dates,"dir auto b b style box sizing border box i style box sizing border box Background i b style box sizing border box font weight 400 style font weight 400 display inline important This is a system enhancement created based on a href https dev.azure.com oncologyanalytics Technology workitems edit 104175 style box sizing border box text decoration underline cursor pointer font weight 400 Bug 104175 a style font weight 400 display inline important ZD 25266 b dir auto b b b As a CRS b user b I must b be able to search and select Members with future eligibility dates b So that b I can create cases in SmartUM for such Members if the Date of Service DOS falls within the Member s eligibility date i style font weight bold Requirements i If a request is submitted for members whose eligibility info we have, but the eligibility has not started yet, make it so that style color rgba 0, 0, 0, 0.9 Cases can be created for Members with future eligibility dates if the DOS falls within the eligibility period Cases cannot be created for Members with style color rgba 0, 0, 0, 0.9 future eligibility dates if the DOS is NOT within the eligibility period style margin top 14px margin bottom 14px style box sizing border box Discussed two questions with Excellus style box sizing border box style box sizing border box They will provide the formulary file information for these members since we will not have any information in our eligibility files. They also stated there are no claims issues on their end because they will not process claims until the date the member is active with the treatment date falling within those dates.",Customization,EXCELLUS,6/26/2023 9:51:41 PM,Groom,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,June Eligibility Files Load,,Standard,,6/28/2023 8:30:36 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,DHP | Historical Load | Member & Eligibility,,Customization,DEVOTED,6/28/2023 9:35:14 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,All Payers | STG/PROD | Func Testing | SMOKE Test members  | TEST0123497 has two eligibility records,"We would like to term all existing mock members and reload new set to ensure all members have 1 active eligibility record in the system. As part of the full update please set b effective date b for all mock members to b 01 01 2023. b Please load to staging so we can confirm before loading to PROD. b b b Below is an example of what happens when we end up with multiple eligibility records. b b b u style font weight bold Copied from Repro Steps when changed from Bug to User Story u Test member no PHI DELETE THIS MEMBER AND RECREATE W BILBA BAGGINS all other data can be the same Bilbo, Baggins needs to be updated so that he only has 1 eligibility record that matches what is outlined in the a href https oncologyanalyticsinc.sharepoint.com x s ProjectFORTIFYExternal EZYjTUGTavJDncwfyMj384oBRL0qwjW0soapslv75au2vw email csabbato 40oncohealth.us amp e 4 O2je7U amp at 9 Smoke Test Member Spreadsheet a . img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 0e9d9af3 c2b5 4fb5 bba8 49e3b5e7a286 fileName image.png alt Image",Standard,,6/30/2023 1:19:15 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,All Payers | Enhancement | Display Eligibility Start and End Date in Member Info Section,"u As a SmartUM User u , if my security permission allows me to view the member info section img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments e438a81c 3738 4be3 851a 953d384fac41 fileName image.png alt Image u display the member s style font size 11.0pt font family quot Calibri quot ,sans serif Eligibility Start and End Dates on the Member Info page u font face Calibri, sans serif style font size 11pt u So that u I can confirm the treatment dates do not fall outside of member s style font size 14.6667px eligibility style font size 11pt from within the system instead of having to go to payer website to confirm eligibility start and end date. font font face Calibri, sans serif style font size 11pt font font face Calibri, sans serif style font size 11pt b u Request u b font display the member s Eligibility Start and End Dates on the Member Info page style text align start display inline important if end date is not known, leave end date section blank style display inline important , signifying the policy has no term date",Standard,,6/30/2023 6:38:54 PM,Closed,,,,,,,,,,,,,,,,,,,
Re-verification & Overrides,All Payers | Enhancement | Move Check Eligibility Pop-Up to Provider Clinical Info Tab,"b u Current Functionality u b style font size 11.0pt font family quot Calibri quot ,sans serif On cases where the dates of service fall outside of the member s eligibility dates, a pop up will appear i just prior to case submission on Review amp Submit tab i asking the user to verify the member s eligibility date range. The user will be able to select Accept and proceed with case submission. b style box sizing border box u style box sizing border box u b b style box sizing border box u style box sizing border box Problem u b style display inline important T style display inline important he Check Eligibility Pop Up fires just prior to case submission, after users have entered all the information in required fields on each tab in the case entry module. style font family Calibri, sans serif font size 11pt If the user navigates away from the case entry module to look at the Member Info or any other left side section without saving a draft, the information collected on the case entry module will be lost. style font family Calibri, sans serif font size 11pt style font family Calibri, sans serif font size 11pt u style font weight bold Solution u Display the popup style font size 11pt font family Calibri, sans serif u on the Provider Clinical Info tab u of the case entry module after the user has entered the i u treatment start date u i information. Keep the pop up itself working as it does already allowing it as soft stop . style font size 11.0pt font family quot Calibri quot ,sans serif",Standard,,6/30/2023 6:57:43 PM,New,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Create View for each Eligibility file received from the Payer,,Standard,,7/12/2023 5:55:13 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load July Eligibility Data,,Standard,,7/26/2023 4:38:55 PM,Closed,,,,,,,,,,,,,,,,,,,
Eligibility Flags,Performance enhancement to Fortify eligibility extract process,"On this specific day, extract eligibility took over 1 hour to run. Within which, HF Member Deactivation 20230629180214.txt took 38 minutes, style display inline important HF EligibilityFlags boolean 20230629180214.txt took 26 minutes, style display inline important style display inline important HF Members 20230629180214.txtt took 9 minutes, style display inline important style display inline important HF Eligibility 20230629180214.txt took 4 minutes. Find ways to speed this up. img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments e7e3f1b6 533c 45d6 ab95 b444565e5d5d fileName image.png alt Image",Standard,,7/27/2023 3:44:17 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Humana eligibility discrepancies,"style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt I am seeing a few issues with Humana eligibility data feeding into the Membership table. style font size 14pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt Recap style margin bottom 0in margin top 0in style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt December 2022 is wrong, its missing membership. Jessica confirmed that Humana reported roughly 108K members that month. style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt April 2023 looks about double the number of members, also not right. style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt May 2023 we have 60k members mapped to Medicaid Major line of business, but their line of business shows Medicare Risk. I think they need to be assigned to Medicare as their Major LOB. style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt SQL view style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 3a241513 97c2 4c31 b8d4 74cec69c6c74 fileName image.png alt Image img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 6b7b20e4 21ed 45d4 9c20 3f638cd3995e fileName image.png alt Image b u Copied from Repro Steps when changed from Bug to User Story u b b u Copied from Description when changed from User Story to Bug u b style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt I am seeing a few issues with Humana eligibility data feeding into the Membership table. style font size 14pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt Recap style margin bottom 0in margin top 0in style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt December 2022 is wrong, its missing membership. Jessica confirmed that Humana reported roughly 108K members that month. style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt April 2023 looks about double the number of members, also not right. style margin 0in 0in 0in 0.5in font size 11pt font family Calibri, sans serif margin left 0in style font size 14.0pt May 2023 we have 60k members mapped to Medicaid Major line of business, but their line of business shows Medicare Risk. I think they need to be assigned to Medicare as their Major LOB. style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt SQL view style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt style margin 0in font size 11pt font family Calibri, sans serif style font size 14.0pt img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 3a241513 97c2 4c31 b8d4 74cec69c6c74 fileName image.png alt Image img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 6b7b20e4 21ed 45d4 9c20 3f638cd3995e fileName image.png alt Image",Customization,SSS,8/3/2023 4:37:22 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Alignment - SCCIPA eligibility,"As a reporting analyst, I want to see Santa Clara County IPA on Alignment s Financial Impact Report, So I can understand performance metrics FI, interventions, etc. for that IPA.",Standard,,8/4/2023 7:35:04 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Create DQ Validation Rules per Eligibility files for each payer in Databricks,,Standard,,8/16/2023 6:39:09 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,BCBSMI Eligibility mapping,,Customization,BCBSMI,8/16/2023 4:22:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load August Eligibility,,Standard,,8/29/2023 4:13:10 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,MCS Eligibility Report,,Customization,MCS,9/11/2023 5:09:00 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Devoted | Term by Absence TBA Logic for 834 (Eligibility File),"style box sizing border box b style box sizing border box Devoted is requiring all delegates to enable Term by Absence TBA b when processing full 834 eligibility files. This will ensure all member disenrollments are being captured by our delegate partners. style box sizing border box dir auto style box sizing border box padding 0px 0px 0px 40px background transparent margin 4px 0px 4px 24px list style none outline 0px style box sizing border box style box sizing border box TBA cannot be enabled on Change incremental 834s. The following files you are receiving are change files and not eligible for TBA. style box sizing border box padding 0px 0px 0px 40px style box sizing border box list style initial margin 0px outline 0px background transparent i style box sizing border box margin 0px outline 0px background transparent Change files received every day but Sunday Full files received weekly on Sundays i style box sizing border box list style initial margin 0px outline 0px background transparent Requested TBA logic When a member is not found when processing a full 834, term the member the last day of the prior month style box sizing border box list style initial margin 0px outline 0px background transparent Full files must be processed the day they are received. Failure to process full 834s same day will cause invalid member updates to occur style box sizing border box list style initial margin 0px outline 0px background transparent If TBA is already enabled for our 834 processing, please respond that this set up has been completed",Customization,DEVOTED,9/19/2023 6:36:38 PM,Closed,,,,,,,,,,,,,,,,,,,
Dual Eligibility,Devoted | CR | Update Code for 834 DHP for Dual Eligibility Logic,AS a so and so I WANT to update the code for the 834 parser branch used by Devoted Health DHP TO Capture and Parse all possible values for Dual Eligibility Members We need to add value of quot 09 quot and treat it like quot 10 quot,Customization,DEVOTED,10/25/2023 5:19:22 PM,Closed,,,,,,,,,,,,,,,,,,,
