=== SHEET: OneUM_CRS_Intake_Assignment ===
Workflow Steps,Page / URL,Purpose,Key tasks,Key fields (required/derived),Entry points,Linked screens,Attachments/letters,Code ref (route → container),APIs fired (observed),UI
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

=== SHEET: Admin PortalPayer Configs ===
Workflow Steps,Page / URL,Purpose,Key tasks,Key fields (required/derived),Entry points,Linked screens,Code ref (route → container),APIs fired (observed),UI
Payer Configuration (page),admin-test.oncologyanalytics.com/matis-payer-config,Entry point to select or add a payer and access payer configuration sections,Select a payer (dropdown “Select a Payer”); add a payer (+ Payer),Select a payer (dropdown “Select a Payer”); add a payer (+ Payer),Administration Portal → Payer Configuration,After payer is selected: Payer Summary; Eligibility Configuration; Payer Details; Case-level Configuration; Drug Formulary Configuration; TAT Configuration; Letters Configuration; Provider Network Configuration; Site of Care Configuration; Line of Business; Product Line; Address Information,/matis-payer-config → app-matis-payer-config (from Elements panel: app-root → … → router-outlet → app-matis-payer-config),"Captured initial page-load GET/XHR only; no Save-triggered  calls due to read-only access.

Initial page load (Fetch/XHR): GET me (initiator: authService.ts:46) • GET userinfo (initiator: chunk-N6ESDQJH.js) • GET content.css (initiator: content.js:37) • XHR featureFlag?featureFlagName=DrugLoade… (initiator: feature-flags.service…) • XHR matispayerwithdetails (initiator: matis-payer-config.c…) • GET userinfo (second call; initiator: chunk-N6ESDQJH.js) • XHR syncUser (initiator: authService.ts:154) • XHR getMultipleMatisLookupElements?lookup… (initiator: matis-payer-config.c…) • GET index.json (initiator: 4VTAH7HRJ.js:1)",
Payer Summary Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Payer Summary,"Set payer identity, communication credentials, request-type scope, and activation state for a payer profile","Select payer / add new; enter identity fields; maintain Whitelist Domains; choose Email Credentials & Fax Credentials (dropdowns); manage Request Type Mapping (Chemo, Radiation, Testing, Appeal); toggle Active; optionally Integrate With Admin Portal; Save",Required: Name; Display Name; Description; Whitelist Domains; Email Credentials (dropdown); Fax Credentials (dropdown) • Other controls: Request Type Mapping (multi-select); Active (toggle); Integrate With Admin Portal (checkbox),Admin Portal → Payer Configuration → select payer,Same sections listed above,/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-content#pn_id_8_accordioncontent_TAB_PAYER_SUMMARY,"Captured initial page-load GET/XHR only; no Save-triggered  calls due to read-only access.

From Network (Fetch/XHR) while Payer Summary visible: GET userinfo (initiator: chunk-N6ESDQJH.js) • GET me (initiator: authService.ts:46) • GET content.css (initiator: content.js:37) • XHR featureFlag?featureFlagName=DrugLoade… (initiator: feature-flags.service…) • XHR matispayerwithdetails (initiator: matis-payer-config.c…) • XHR getMultipleMatisLookupElements?lookup… (initiator: matis-payer-config.c…) • XHR syncUser (initiator: authService.ts:154) • GET index.json (initiator: 4VTAH7HRJ.js:1) • (after payer selected; second screenshot) XHR getinsuranceproviderattributes?insurance… (initiator: matis-payer-config.c…) • XHR getLinesOfBusiness?insuranceProviderId… (initiator: line-of-business.compo…) • XHR getProductLines?insuranceProviderId=12 (initiator: product-line.compo…) • XHR getMultipleMatisLookupElements?lookup… (initiator: product-line.compo…) • XHR getInsuranceProviderAddresses?insurance… (initiator: address.component…) • XHR getTimeZones (initiator: address.component…) • XHR getProductLines?insuranceProviderId=12 (initiator: product-line.compo…) • XHR state?fromMatis=true (initiator: address.component…)",
Eligibility Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Eligibility Configuration,Configure the payer’s eligibility verification method and whether eligibility is required,Choose Eligibility Service Method; toggle Required Eligibility Verification,Eligibility Service Method* (text value shown: fchp270_271); Required Eligibility Verification (checkbox — checked),Administration Portal → Payer Configuration → select payer → Eligibility Configuration section,Same sections listed above,/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_ELIGIBILITY_CONFIGURATION → p-accordion-content#pn_id_8_accordioncontent_TAB_ELIGIBILITY_CONFIGURATION,same as for Payer Summary Configuration,
Payer Details,admin-test.oncologyanalytics.com/matis-payer-config → Payer Details,"Maintain payer contact info, delegation settings, member-ID rules, and EOD/visibility flags",Enter company names; set delegation; provide phone numbers; define member-ID expression and length; set messages; toggle Generate EOD File and Visible To External; toggle “Use Medical Intake Phone # for the ASO Out of Scope popup”,OA Company Name* (Oncology Analytics); OA Company Short Name* (OA); Company Phone #* (1-800-884-4905); Decision Delegation (dropdown — value shown: Delegated approvals & denials); Medical Intake Phone #* (1-800-884-4905); Member ID Expression (regex text field); Max Member ID Length* (12); Member ID Message (Please enter the full Member ID); Custom OH Reference ID Expression (helper text: “Maximum 256 characters allowed”); Generate EOD File (checkbox — checked); Use Medical Intake Phone # for The ASO Out of Scope popup (checkbox); Visible To External (checkbox — checked),Administration Portal → Payer Configuration → select payer → Payer Details section,Same sections listed above,/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_PAYER_DETAILS → p-accordion-content#pn_id_8_accordioncontent_TAB_PAYER_DETAILS,same as for Payer Summary Configuration,
Case Level Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Case-level Configuration,"Define payer-specific case rules: look-back limits, initiation windows, required data elements, concurrency/post-service rules, PCP lookup method, grace periods, and plan-year date",Set numeric limits; toggle requirements/allowances; select PCP lookup method; set grace period; (optionally) set Review Dosing Regimen Start Date and Plan Year Date,Max # Months in the Past* = 24 (spinner) • # Days/Case Initiation* = 180 (spinner) • Review Dosing Regimen Start Date = (empty) • Require Payer Receipt Date = unchecked • Require Product Line = unchecked • Require Translator for Protocol Denials and Appeals = unchecked • Allow Partial Approvals = unchecked • Allow Manual Provider Notification Date/Time Updates = unchecked • Require Discontinuation of Authorization = checked • Require Servicing Provider = checked • Allow Concurrent Requests? = checked • Allow Approval Fax with Pending Protocols = unchecked • Review Part D Drugs = unchecked • Require Height and Weight = unchecked • Require Place of Service Type = unchecked • Allow Post-Service Requests? = checked • Allow Manual Patient Notification Date/Time Updates = unchecked • Filter Ordering Providers by Major LOB = unchecked • PCP Lookup Method = Full Facility ID (dropdown) • Chemotherapy Coverage Duration Grace Period in Days = 0 (spinner) • Plan Year Date = field present,Administration Portal → Payer Configuration → select payer → Case-level Configuration,"Other sections on same page (Payer Summary, Eligibility Configuration, Payer Details, Drug Formulary Configuration, TAT Configuration, Letters Configuration, Provider Network Configuration, Site of Care Configuration)",/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_CASE_LEVEL_CONFIGURATION → p-accordion-content#pn_id_8_accordioncontent_TAB_CASE_LEVEL_CONFIGURATION,same as for Payer Summary Configuration,
Drug Formulary Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Drug Formulary Configuration,Configure how the payer’s formulary is used in PA/OOS decisions and whether consolidated flags are stored,Toggle formulary behavior and storage flags,Checkboxes shown: • Use Member Specific Formulary • Use Formulary to Determine PA • Use Formulary to Determine OOS • Enable storing consolidated PA & OOS drug flags,Administration Portal → Payer Configuration → select payer → Drug Formulary Configuration,"Other sections on the same page (TAT Configuration, Case-level Configuration, Payer Details, etc.)",/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_DRUG_FORMULARY_CONFIGURATION → p-accordion-content#pn_id_8_accordioncontent_TAB_DRUG_FORMULARY_CONFIGURATION,same as for Payer Summary Configuration,
TAT Configuration,admin-test.oncologyanalytics.com/matis-payer-config → TAT Configuration,"Configure turn-around-time rules (base config, hour windows, date anchors, weekend handling, and enhanced TAT features)",Select TAT configuration; set minimal period and deduction; choose which dates anchor TAT; control weekend due-date behavior; (optionally) enable enhanced TAT features and supply start dates,"TAT Configuration (dropdown) • Minimal TAT Period (hours) = 0 • TAT period deduction (hours) = 0 • Use Payer Receipt Date For TAT Calculation = checked • Use Appeal Receipt Date for TAT Calculation = unchecked • Use Priority Changed Date for TAT Calculation = checked • Use Part D Changed Date for TAT Calculation = unchecked • Do not allow due date on weekend for TAT Calculation = unchecked • Enable Enhanced TAT Notification Events (checkbox; start date field present, disabled) • Enable Quantity Limit NMI requests for Medicare cases (starting from) (date field, disabled) • Enable Enhanced TAT Full Case Meta-timer (checkbox; start date field present, disabled) • Delivering all written notifications Start Date (date field, disabled)",Administration Portal → Payer Configuration → select payer → TAT Configuration,"Other sections on the same page (Drug Formulary Configuration, Case-level Configuration, etc.)",/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-panel (TAT Configuration section),same as for Payer Summary Configuration,
Letters Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Letters Configuration,Configure payer-specific default text used in letters/notes for out-of-scope and determination messages,Enter/update message text in provided fields,Text areas shown: • Out of Scope Drug Message (helper: “Maximum 200 characters allowed”) • Out of Scope Pharmacy Drug Message (helper: “Maximum 256 characters allowed”) • Out of Scope Member Benefit Message (helper: “Maximum 256 characters allowed”) • Determination note for Pharmacy Benefit drug with PA (helper: “Maximum 256 characters allowed”) • Determination note for Pharmacy Benefit drug with PA (Spanish) (helper: “Maximum 256 characters allowed”) • Determination note for Pharmacy Benefit drug with no PA (helper: “Maximum 256 characters allowed”) • Determination note for Pharmacy Benefit drug with no PA (Spanish) (helper: “Maximum 256 characters allowed”) • Determination note for Medical drug with no PA (helper: “Maximum 256 characters allowed”) • Determination note for Medical drug with no PA (Spanish) (helper: “Maximum 256 characters allowed”) • Determination note for CPT Code with no PA (helper: “Maximum 256 characters allowed”) • Determination note for CPT Code with no PA (Spanish) (helper: “Maximum 256 characters allowed”),Administration Portal → Payer Configuration → select payer → Letters Configuration,"Other sections on the same page (e.g., TAT Configuration)",/matis-payer-config → app-root → router-outlet → app-main → … → router-outlet → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_LETTERS_CONFIGURATION → p-accordion-content#pn_id_8_accordioncontent_TAB_LETTERS_CONFIGURATION,same as for Payer Summary Configuration,
Provider Network Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Provider Network Configuration,Configure in-network verification behavior and default messages related to network status,Toggle network checks; choose provider network check method; enter default messages for member and treating-provider network scenarios,Checkboxes: Verify if provider is in network (unchecked); Require Payer Owned Providers Check (unchecked) • Dropdown: Provider Network Check Method = Product Line • Text areas (helper “Maximum 256 characters allowed”): Member has out of network benefit message; Member doesn’t have out of network benefit message; Treating Provider is a System Provider message; Treating Provider is not a System Provider message,Administration Portal → Payer Configuration → select payer → Provider Network Configuration,"Other sections on same page (e.g., Letters Configuration, Site of Care Configuration)",/matis-payer-config → app-matis-payer-config → p-accordion-content#pn_id_8_accordioncontent_TAB_PROVIDER_NETWORK_CONFIGURATION (from Elements panel in your screenshot),same as for Payer Summary Configuration,
Site of Care Configuration,admin-test.oncologyanalytics.com/matis-payer-config → Site of Care Configuration,"Configure Site-of-Care (SOC) program enablement, visibility, denial handling, and grace period",Enable/disable SOC program; toggle visibility of SOC clinical exception criteria to external; choose SOC Program Type; choose SOC Denial Option; set SOC Grace Period (months); Save,Checkboxes: Site of Care Program (unchecked); SOC Clinical Exception Criteria Visible To External (unchecked) • Dropdowns: SOC Program Type (empty/placeholder); SOC Denial Option (empty/placeholder) • Numeric: SOC Grace Period (months) (spinner),Administration Portal → Payer Configuration → select payer → Site of Care Configuration,Following sections on same page: Line of Business (grid appears immediately below); Product Line; Address Information,/matis-payer-config → app-matis-payer-config → p-accordion-header#pn_id_8_accordionheader_TAB_SOC_CONFIGURATION → p-accordion-content#pn_id_8_accordioncontent_TAB_SOC_CONFIGURATION,same as for Payer Summary Configuration,
Line of Business,admin-test.oncologyanalytics.com/matis-payer-config → Line of Business,"Configure payer LOB-level rules, flags, and messaging that govern case creation and notifications","Expand LOB row; toggle LOB flags; set hard-stop rules/messages; configure pediatric, cutoff, and continuity-of-care options","Grid columns: LOB Name; Major LOB Name; Medical Benefit Drug; Pharmacy Benefit Drug; Include in EOD file (checked); Active (checked) • Row shown: Medicare Risk / Medicare • Checkboxes (top block): Do Not Require CAG Fields for Completing a Case with Pharmacy Drugs; Carrier ID; Account ID; Group ID; Pharmacy is Out Of Scope; Include Member Copy In Provider Fax; Send Preferred Language Notification to Member; Enable New Reconsideration Workflow • Rules/msgs: Restrict Chemo case creation when all drugs are (dropdown); Allow case creation when all treatment codes are PA Exempt (checked); Restrict XRT case creation when all codes are (dropdown); Custom Chemo Hard Stop Message (textarea — populated with: “Thank you for using OncoHealth. At this time, this treatment does not require prior authorization under the member's current coverage.”); Custom XRT Hard Stop Message (textarea) • Programs & limits: Enable Pediatric Program (checkbox); Age Limitation (less than), years (spinner); Content of Procedure Units (Billing Units) column (dropdown — value: Procedure Units); Cutoff Date (date); Custom Hard Stop Message (textarea — “Case cannot be created. The treatment start date must be on or after the allowed minimum date (cutoff date).”) • Gap review: Require Gap Review Results for Completing a Case (checkbox); Gap Review Recommendation Link (input) • Post-Denial Configuration: Appeals (checkbox); Reopens (checkbox); Reconsiderations (checkbox) • Continuity of Care Questions for OON Providers (used when provider is OON and “Verify if provider is in network” is checked): Has this member been receiving active care from this servicing/treating provider?; Is this the only available servicing/treating provider within a reasonable distance that can provide this service/treatment for the patient?; Does this patient have a referral from the Health Plan to see this servicing/treating provider?",Administration Portal → Payer Configuration → select payer → Line of Business,Product Line; Address Information (next sections on the same page),/matis-payer-config → app-matis-payer-config → line-of-business-section → div#pn_id_1.p-datatable.p-component → table#pn_id_1_table,same as for Payer Summary Configuration,
Product Line,admin-test.oncologyanalytics.com/matis-payer-config → Product Line,Maintain product lines under a payer and set network/ASO/active flags,Add product line (+ Product Line); review/edit each row’s rules and flags,"Grid columns visible: Line of Business, Product Line (values shown: MER, MEP, MES), Provider Network Rules (value: Always allow), Plan Type, ASO (checkbox), Active (checkbox). Example rows shown: Medicare Risk → MER/MEP/MES; Active checked for MER (others appear unchecked).",Payer Configuration → Product Line section,Address Information (next section); Line of Business (above),"/matis-payer-config → app-matis-payer-config → product-line-section → div.secondary-section → p-table[dataKey=""productLineID""] (from Elements screenshots)",same as for Payer Summary Configuration,
Address Information,admin-test.oncologyanalytics.com/matis-payer-config → Address Information,Store payer offices and flags used for correspondence and faxing,"Add address (+ Address); edit office rows; set Default, Use On Fax, Active flags","Grid columns visible: Office Name, Address Line 1, Address Line 2, City, State, Zip Code, Time Zone, Default (checkbox), Use On Fax (checkbox), Active (checkbox). Rows shown: California Office — 1100 W. Town and Country Road #1600, Orange, CA 92868, Time Zone: (UTC-08:00) Pacific Time (US & Canada); Florida Office — 4300 W Cypress St Ste. 400, Tampa, FL 33607, Time Zone: (UTC-05:00) Eastern Time (US & Canada). (Checkbox states as displayed in UI; verify in app if needed.)",Payer Configuration → Address Information,Product Line (above),"/matis-payer-config → app-matis-payer-config → address-section → div.secondary-section → p-table[dataKey=""insuranceProviderAddressID""] (from Elements screenshots)",same as for Payer Summary Configuration,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
